index,value,geometry
6,57,"POLYGON ((121.0744642194859 14.62328312054317, 121.0744642194859 14.62418244090689, 121.0753936236556 14.62418244090689, 121.0753936236556 14.62328312054317, 121.0744642194859 14.62328312054317))"
7,55,"POLYGON ((121.0744642194859 14.62418244090689, 121.0744642194859 14.62508176127062, 121.0753936236556 14.62508176127062, 121.0753936236556 14.62418244090689, 121.0744642194859 14.62418244090689))"
8,55,"POLYGON ((121.0744642194859 14.62508176127062, 121.0744642194859 14.62598108163434, 121.0753936236556 14.62598108163434, 121.0753936236556 14.62508176127062, 121.0744642194859 14.62508176127062))"
9,56,"POLYGON ((121.0744642194859 14.62598108163434, 121.0744642194859 14.62688040199807, 121.0753936236556 14.62688040199807, 121.0753936236556 14.62598108163434, 121.0744642194859 14.62598108163434))"
10,57,"POLYGON ((121.0744642194859 14.62688040199807, 121.0744642194859 14.62777972236179, 121.0753936236556 14.62777972236179, 121.0753936236556 14.62688040199807, 121.0744642194859 14.62688040199807))"
11,56,"POLYGON ((121.0744642194859 14.62777972236179, 121.0744642194859 14.62867904272552, 121.0753936236556 14.62867904272552, 121.0753936236556 14.62777972236179, 121.0744642194859 14.62777972236179))"
65,52,"POLYGON ((121.0753936236556 14.61878651872454, 121.0753936236556 14.61968583908827, 121.0763230278253 14.61968583908827, 121.0763230278253 14.61878651872454, 121.0753936236556 14.61878651872454))"
66,52,"POLYGON ((121.0753936236556 14.61968583908827, 121.0753936236556 14.62058515945199, 121.0763230278253 14.62058515945199, 121.0763230278253 14.61968583908827, 121.0753936236556 14.61968583908827))"
68,59,"POLYGON ((121.0753936236556 14.62148447981572, 121.0753936236556 14.62238380017944, 121.0763230278253 14.62238380017944, 121.0763230278253 14.62148447981572, 121.0753936236556 14.62148447981572))"
69,63,"POLYGON ((121.0753936236556 14.62238380017944, 121.0753936236556 14.62328312054317, 121.0763230278253 14.62328312054317, 121.0763230278253 14.62238380017944, 121.0753936236556 14.62238380017944))"
70,60,"POLYGON ((121.0753936236556 14.62328312054317, 121.0753936236556 14.62418244090689, 121.0763230278253 14.62418244090689, 121.0763230278253 14.62328312054317, 121.0753936236556 14.62328312054317))"
71,56,"POLYGON ((121.0753936236556 14.62418244090689, 121.0753936236556 14.62508176127062, 121.0763230278253 14.62508176127062, 121.0763230278253 14.62418244090689, 121.0753936236556 14.62418244090689))"
72,57,"POLYGON ((121.0753936236556 14.62508176127062, 121.0753936236556 14.62598108163434, 121.0763230278253 14.62598108163434, 121.0763230278253 14.62508176127062, 121.0753936236556 14.62508176127062))"
73,57,"POLYGON ((121.0753936236556 14.62598108163434, 121.0753936236556 14.62688040199807, 121.0763230278253 14.62688040199807, 121.0763230278253 14.62598108163434, 121.0753936236556 14.62598108163434))"
74,55,"POLYGON ((121.0753936236556 14.62688040199807, 121.0753936236556 14.62777972236179, 121.0763230278253 14.62777972236179, 121.0763230278253 14.62688040199807, 121.0753936236556 14.62688040199807))"
75,55,"POLYGON ((121.0753936236556 14.62777972236179, 121.0753936236556 14.62867904272552, 121.0763230278253 14.62867904272552, 121.0763230278253 14.62777972236179, 121.0753936236556 14.62777972236179))"
128,32,"POLYGON ((121.0763230278253 14.61788719836082, 121.0763230278253 14.61878651872454, 121.0772524319949 14.61878651872454, 121.0772524319949 14.61788719836082, 121.0763230278253 14.61788719836082))"
129,44,"POLYGON ((121.0763230278253 14.61878651872454, 121.0763230278253 14.61968583908827, 121.0772524319949 14.61968583908827, 121.0772524319949 14.61878651872454, 121.0763230278253 14.61878651872454))"
130,49,"POLYGON ((121.0763230278253 14.61968583908827, 121.0763230278253 14.62058515945199, 121.0772524319949 14.62058515945199, 121.0772524319949 14.61968583908827, 121.0763230278253 14.61968583908827))"
131,44,"POLYGON ((121.0763230278253 14.62058515945199, 121.0763230278253 14.62148447981572, 121.0772524319949 14.62148447981572, 121.0772524319949 14.62058515945199, 121.0763230278253 14.62058515945199))"
132,55,"POLYGON ((121.0763230278253 14.62148447981572, 121.0763230278253 14.62238380017944, 121.0772524319949 14.62238380017944, 121.0772524319949 14.62148447981572, 121.0763230278253 14.62148447981572))"
133,59,"POLYGON ((121.0763230278253 14.62238380017944, 121.0763230278253 14.62328312054317, 121.0772524319949 14.62328312054317, 121.0772524319949 14.62238380017944, 121.0763230278253 14.62238380017944))"
134,60,"POLYGON ((121.0763230278253 14.62328312054317, 121.0763230278253 14.62418244090689, 121.0772524319949 14.62418244090689, 121.0772524319949 14.62328312054317, 121.0763230278253 14.62328312054317))"
135,59,"POLYGON ((121.0763230278253 14.62418244090689, 121.0763230278253 14.62508176127062, 121.0772524319949 14.62508176127062, 121.0772524319949 14.62418244090689, 121.0763230278253 14.62418244090689))"
136,60,"POLYGON ((121.0763230278253 14.62508176127062, 121.0763230278253 14.62598108163434, 121.0772524319949 14.62598108163434, 121.0772524319949 14.62508176127062, 121.0763230278253 14.62508176127062))"
137,49,"POLYGON ((121.0763230278253 14.62598108163434, 121.0763230278253 14.62688040199807, 121.0772524319949 14.62688040199807, 121.0772524319949 14.62598108163434, 121.0763230278253 14.62598108163434))"
