index,value,geometry
138,53,"POLYGON ((121.0763230278253 14.62688040199807, 121.0763230278253 14.62777972236179, 121.0772524319949 14.62777972236179, 121.0772524319949 14.62688040199807, 121.0763230278253 14.62688040199807))"
139,54,"POLYGON ((121.0763230278253 14.62777972236179, 121.0763230278253 14.62867904272552, 121.0772524319949 14.62867904272552, 121.0772524319949 14.62777972236179, 121.0763230278253 14.62777972236179))"
192,30,"POLYGON ((121.0772524319949 14.61788719836082, 121.0772524319949 14.61878651872454, 121.0781818361646 14.61878651872454, 121.0781818361646 14.61788719836082, 121.0772524319949 14.61788719836082))"
193,32,"POLYGON ((121.0772524319949 14.61878651872454, 121.0772524319949 14.61968583908827, 121.0781818361646 14.61968583908827, 121.0781818361646 14.61878651872454, 121.0772524319949 14.61878651872454))"
194,38,"POLYGON ((121.0772524319949 14.61968583908827, 121.0772524319949 14.62058515945199, 121.0781818361646 14.62058515945199, 121.0781818361646 14.61968583908827, 121.0772524319949 14.61968583908827))"
195,42,"POLYGON ((121.0772524319949 14.62058515945199, 121.0772524319949 14.62148447981572, 121.0781818361646 14.62148447981572, 121.0781818361646 14.62058515945199, 121.0772524319949 14.62058515945199))"
196,49,"POLYGON ((121.0772524319949 14.62148447981572, 121.0772524319949 14.62238380017944, 121.0781818361646 14.62238380017944, 121.0781818361646 14.62148447981572, 121.0772524319949 14.62148447981572))"
197,50,"POLYGON ((121.0772524319949 14.62238380017944, 121.0772524319949 14.62328312054317, 121.0781818361646 14.62328312054317, 121.0781818361646 14.62238380017944, 121.0772524319949 14.62238380017944))"
198,42,"POLYGON ((121.0772524319949 14.62328312054317, 121.0772524319949 14.62418244090689, 121.0781818361646 14.62418244090689, 121.0781818361646 14.62328312054317, 121.0772524319949 14.62328312054317))"
199,44,"POLYGON ((121.0772524319949 14.62418244090689, 121.0772524319949 14.62508176127062, 121.0781818361646 14.62508176127062, 121.0781818361646 14.62418244090689, 121.0772524319949 14.62418244090689))"
200,42,"POLYGON ((121.0772524319949 14.62508176127062, 121.0772524319949 14.62598108163434, 121.0781818361646 14.62598108163434, 121.0781818361646 14.62508176127062, 121.0772524319949 14.62508176127062))"
201,39,"POLYGON ((121.0772524319949 14.62598108163434, 121.0772524319949 14.62688040199807, 121.0781818361646 14.62688040199807, 121.0781818361646 14.62598108163434, 121.0772524319949 14.62598108163434))"
202,37,"POLYGON ((121.0772524319949 14.62688040199807, 121.0772524319949 14.62777972236179, 121.0781818361646 14.62777972236179, 121.0781818361646 14.62688040199807, 121.0772524319949 14.62688040199807))"
203,37,"POLYGON ((121.0772524319949 14.62777972236179, 121.0772524319949 14.62867904272552, 121.0781818361646 14.62867904272552, 121.0781818361646 14.62777972236179, 121.0772524319949 14.62777972236179))"
204,49,"POLYGON ((121.0772524319949 14.62867904272552, 121.0772524319949 14.62957836308924, 121.0781818361646 14.62957836308924, 121.0781818361646 14.62867904272552, 121.0772524319949 14.62867904272552))"
205,55,"POLYGON ((121.0772524319949 14.62957836308924, 121.0772524319949 14.63047768345297, 121.0781818361646 14.63047768345297, 121.0781818361646 14.62957836308924, 121.0772524319949 14.62957836308924))"
207,59,"POLYGON ((121.0772524319949 14.6313770038167, 121.0772524319949 14.63227632418042, 121.0781818361646 14.63227632418042, 121.0781818361646 14.6313770038167, 121.0772524319949 14.6313770038167))"
208,60,"POLYGON ((121.0772524319949 14.63227632418042, 121.0772524319949 14.63317564454415, 121.0781818361646 14.63317564454415, 121.0781818361646 14.63227632418042, 121.0772524319949 14.63227632418042))"
209,59,"POLYGON ((121.0772524319949 14.63317564454415, 121.0772524319949 14.63407496490787, 121.0781818361646 14.63407496490787, 121.0781818361646 14.63317564454415, 121.0772524319949 14.63317564454415))"
210,57,"POLYGON ((121.0772524319949 14.63407496490787, 121.0772524319949 14.6349742852716, 121.0781818361646 14.6349742852716, 121.0781818361646 14.63407496490787, 121.0772524319949 14.63407496490787))"
256,29,"POLYGON ((121.0781818361646 14.61788719836082, 121.0781818361646 14.61878651872454, 121.0791112403343 14.61878651872454, 121.0791112403343 14.61788719836082, 121.0781818361646 14.61788719836082))"
257,29,"POLYGON ((121.0781818361646 14.61878651872454, 121.0781818361646 14.61968583908827, 121.0791112403343 14.61968583908827, 121.0791112403343 14.61878651872454, 121.0781818361646 14.61878651872454))"
258,32,"POLYGON ((121.0781818361646 14.61968583908827, 121.0781818361646 14.62058515945199, 121.0791112403343 14.62058515945199, 121.0791112403343 14.61968583908827, 121.0781818361646 14.61968583908827))"
259,36,"POLYGON ((121.0781818361646 14.62058515945199, 121.0781818361646 14.62148447981572, 121.0791112403343 14.62148447981572, 121.0791112403343 14.62058515945199, 121.0781818361646 14.62058515945199))"
260,43,"POLYGON ((121.0781818361646 14.62148447981572, 121.0781818361646 14.62238380017944, 121.0791112403343 14.62238380017944, 121.0791112403343 14.62148447981572, 121.0781818361646 14.62148447981572))"
261,35,"POLYGON ((121.0781818361646 14.62238380017944, 121.0781818361646 14.62328312054317, 121.0791112403343 14.62328312054317, 121.0791112403343 14.62238380017944, 121.0781818361646 14.62238380017944))"
262,37,"POLYGON ((121.0781818361646 14.62328312054317, 121.0781818361646 14.62418244090689, 121.0791112403343 14.62418244090689, 121.0791112403343 14.62328312054317, 121.0781818361646 14.62328312054317))"
263,37,"POLYGON ((121.0781818361646 14.62418244090689, 121.0781818361646 14.62508176127062, 121.0791112403343 14.62508176127062, 121.0791112403343 14.62418244090689, 121.0781818361646 14.62418244090689))"
264,39,"POLYGON ((121.0781818361646 14.62508176127062, 121.0781818361646 14.62598108163434, 121.0791112403343 14.62598108163434, 121.0791112403343 14.62508176127062, 121.0781818361646 14.62508176127062))"
265,39,"POLYGON ((121.0781818361646 14.62598108163434, 121.0781818361646 14.62688040199807, 121.0791112403343 14.62688040199807, 121.0791112403343 14.62598108163434, 121.0781818361646 14.62598108163434))"
266,39,"POLYGON ((121.0781818361646 14.62688040199807, 121.0781818361646 14.62777972236179, 121.0791112403343 14.62777972236179, 121.0791112403343 14.62688040199807, 121.0781818361646 14.62688040199807))"
267,40,"POLYGON ((121.0781818361646 14.62777972236179, 121.0781818361646 14.62867904272552, 121.0791112403343 14.62867904272552, 121.0791112403343 14.62777972236179, 121.0781818361646 14.62777972236179))"
268,53,"POLYGON ((121.0781818361646 14.62867904272552, 121.0781818361646 14.62957836308924, 121.0791112403343 14.62957836308924, 121.0791112403343 14.62867904272552, 121.0781818361646 14.62867904272552))"
269,56,"POLYGON ((121.0781818361646 14.62957836308924, 121.0781818361646 14.63047768345297, 121.0791112403343 14.63047768345297, 121.0791112403343 14.62957836308924, 121.0781818361646 14.62957836308924))"
270,56,"POLYGON ((121.0781818361646 14.63047768345297, 121.0781818361646 14.6313770038167, 121.0791112403343 14.6313770038167, 121.0791112403343 14.63047768345297, 121.0781818361646 14.63047768345297))"
271,55,"POLYGON ((121.0781818361646 14.6313770038167, 121.0781818361646 14.63227632418042, 121.0791112403343 14.63227632418042, 121.0791112403343 14.6313770038167, 121.0781818361646 14.6313770038167))"
272,53,"POLYGON ((121.0781818361646 14.63227632418042, 121.0781818361646 14.63317564454415, 121.0791112403343 14.63317564454415, 121.0791112403343 14.63227632418042, 121.0781818361646 14.63227632418042))"
273,54,"POLYGON ((121.0781818361646 14.63317564454415, 121.0781818361646 14.63407496490787, 121.0791112403343 14.63407496490787, 121.0791112403343 14.63317564454415, 121.0781818361646 14.63317564454415))"
274,56,"POLYGON ((121.0781818361646 14.63407496490787, 121.0781818361646 14.6349742852716, 121.0791112403343 14.6349742852716, 121.0791112403343 14.63407496490787, 121.0781818361646 14.63407496490787))"
275,59,"POLYGON ((121.0781818361646 14.6349742852716, 121.0781818361646 14.63587360563532, 121.0791112403343 14.63587360563532, 121.0791112403343 14.6349742852716, 121.0781818361646 14.6349742852716))"
320,23,"POLYGON ((121.0791112403343 14.61788719836082, 121.0791112403343 14.61878651872454, 121.080040644504 14.61878651872454, 121.080040644504 14.61788719836082, 121.0791112403343 14.61788719836082))"
321,22,"POLYGON ((121.0791112403343 14.61878651872454, 121.0791112403343 14.61968583908827, 121.080040644504 14.61968583908827, 121.080040644504 14.61878651872454, 121.0791112403343 14.61878651872454))"
322,23,"POLYGON ((121.0791112403343 14.61968583908827, 121.0791112403343 14.62058515945199, 121.080040644504 14.62058515945199, 121.080040644504 14.61968583908827, 121.0791112403343 14.61968583908827))"
323,24,"POLYGON ((121.0791112403343 14.62058515945199, 121.0791112403343 14.62148447981572, 121.080040644504 14.62148447981572, 121.080040644504 14.62058515945199, 121.0791112403343 14.62058515945199))"
324,24,"POLYGON ((121.0791112403343 14.62148447981572, 121.0791112403343 14.62238380017944, 121.080040644504 14.62238380017944, 121.080040644504 14.62148447981572, 121.0791112403343 14.62148447981572))"
325,25,"POLYGON ((121.0791112403343 14.62238380017944, 121.0791112403343 14.62328312054317, 121.080040644504 14.62328312054317, 121.080040644504 14.62238380017944, 121.0791112403343 14.62238380017944))"
326,31,"POLYGON ((121.0791112403343 14.62328312054317, 121.0791112403343 14.62418244090689, 121.080040644504 14.62418244090689, 121.080040644504 14.62328312054317, 121.0791112403343 14.62328312054317))"
327,32,"POLYGON ((121.0791112403343 14.62418244090689, 121.0791112403343 14.62508176127062, 121.080040644504 14.62508176127062, 121.080040644504 14.62418244090689, 121.0791112403343 14.62418244090689))"
328,34,"POLYGON ((121.0791112403343 14.62508176127062, 121.0791112403343 14.62598108163434, 121.080040644504 14.62598108163434, 121.080040644504 14.62508176127062, 121.0791112403343 14.62508176127062))"
329,36,"POLYGON ((121.0791112403343 14.62598108163434, 121.0791112403343 14.62688040199807, 121.080040644504 14.62688040199807, 121.080040644504 14.62598108163434, 121.0791112403343 14.62598108163434))"
330,37,"POLYGON ((121.0791112403343 14.62688040199807, 121.0791112403343 14.62777972236179, 121.080040644504 14.62777972236179, 121.080040644504 14.62688040199807, 121.0791112403343 14.62688040199807))"
331,39,"POLYGON ((121.0791112403343 14.62777972236179, 121.0791112403343 14.62867904272552, 121.080040644504 14.62867904272552, 121.080040644504 14.62777972236179, 121.0791112403343 14.62777972236179))"
332,38,"POLYGON ((121.0791112403343 14.62867904272552, 121.0791112403343 14.62957836308924, 121.080040644504 14.62957836308924, 121.080040644504 14.62867904272552, 121.0791112403343 14.62867904272552))"
333,59,"POLYGON ((121.0791112403343 14.62957836308924, 121.0791112403343 14.63047768345297, 121.080040644504 14.63047768345297, 121.080040644504 14.62957836308924, 121.0791112403343 14.62957836308924))"
334,54,"POLYGON ((121.0791112403343 14.63047768345297, 121.0791112403343 14.6313770038167, 121.080040644504 14.6313770038167, 121.080040644504 14.63047768345297, 121.0791112403343 14.63047768345297))"
335,52,"POLYGON ((121.0791112403343 14.6313770038167, 121.0791112403343 14.63227632418042, 121.080040644504 14.63227632418042, 121.080040644504 14.6313770038167, 121.0791112403343 14.6313770038167))"
336,54,"POLYGON ((121.0791112403343 14.63227632418042, 121.0791112403343 14.63317564454415, 121.080040644504 14.63317564454415, 121.080040644504 14.63227632418042, 121.0791112403343 14.63227632418042))"
337,54,"POLYGON ((121.0791112403343 14.63317564454415, 121.0791112403343 14.63407496490787, 121.080040644504 14.63407496490787, 121.080040644504 14.63317564454415, 121.0791112403343 14.63317564454415))"
338,55,"POLYGON ((121.0791112403343 14.63407496490787, 121.0791112403343 14.6349742852716, 121.080040644504 14.6349742852716, 121.080040644504 14.63407496490787, 121.0791112403343 14.63407496490787))"
339,57,"POLYGON ((121.0791112403343 14.6349742852716, 121.0791112403343 14.63587360563532, 121.080040644504 14.63587360563532, 121.080040644504 14.6349742852716, 121.0791112403343 14.6349742852716))"
385,21,"POLYGON ((121.080040644504 14.61878651872454, 121.080040644504 14.61968583908827, 121.0809700486736 14.61968583908827, 121.0809700486736 14.61878651872454, 121.080040644504 14.61878651872454))"
386,21,"POLYGON ((121.080040644504 14.61968583908827, 121.080040644504 14.62058515945199, 121.0809700486736 14.62058515945199, 121.0809700486736 14.61968583908827, 121.080040644504 14.61968583908827))"
387,20,"POLYGON ((121.080040644504 14.62058515945199, 121.080040644504 14.62148447981572, 121.0809700486736 14.62148447981572, 121.0809700486736 14.62058515945199, 121.080040644504 14.62058515945199))"
388,15,"POLYGON ((121.080040644504 14.62148447981572, 121.080040644504 14.62238380017944, 121.0809700486736 14.62238380017944, 121.0809700486736 14.62148447981572, 121.080040644504 14.62148447981572))"
389,22,"POLYGON ((121.080040644504 14.62238380017944, 121.080040644504 14.62328312054317, 121.0809700486736 14.62328312054317, 121.0809700486736 14.62238380017944, 121.080040644504 14.62238380017944))"
390,23,"POLYGON ((121.080040644504 14.62328312054317, 121.080040644504 14.62418244090689, 121.0809700486736 14.62418244090689, 121.0809700486736 14.62328312054317, 121.080040644504 14.62328312054317))"
391,26,"POLYGON ((121.080040644504 14.62418244090689, 121.080040644504 14.62508176127062, 121.0809700486736 14.62508176127062, 121.0809700486736 14.62418244090689, 121.080040644504 14.62418244090689))"
392,27,"POLYGON ((121.080040644504 14.62508176127062, 121.080040644504 14.62598108163434, 121.0809700486736 14.62598108163434, 121.0809700486736 14.62508176127062, 121.080040644504 14.62508176127062))"
393,32,"POLYGON ((121.080040644504 14.62598108163434, 121.080040644504 14.62688040199807, 121.0809700486736 14.62688040199807, 121.0809700486736 14.62598108163434, 121.080040644504 14.62598108163434))"
394,32,"POLYGON ((121.080040644504 14.62688040199807, 121.080040644504 14.62777972236179, 121.0809700486736 14.62777972236179, 121.0809700486736 14.62688040199807, 121.080040644504 14.62688040199807))"
395,34,"POLYGON ((121.080040644504 14.62777972236179, 121.080040644504 14.62867904272552, 121.0809700486736 14.62867904272552, 121.0809700486736 14.62777972236179, 121.080040644504 14.62777972236179))"
396,36,"POLYGON ((121.080040644504 14.62867904272552, 121.080040644504 14.62957836308924, 121.0809700486736 14.62957836308924, 121.0809700486736 14.62867904272552, 121.080040644504 14.62867904272552))"
397,42,"POLYGON ((121.080040644504 14.62957836308924, 121.080040644504 14.63047768345297, 121.0809700486736 14.63047768345297, 121.0809700486736 14.62957836308924, 121.080040644504 14.62957836308924))"
398,43,"POLYGON ((121.080040644504 14.63047768345297, 121.080040644504 14.6313770038167, 121.0809700486736 14.6313770038167, 121.0809700486736 14.63047768345297, 121.080040644504 14.63047768345297))"
399,42,"POLYGON ((121.080040644504 14.6313770038167, 121.080040644504 14.63227632418042, 121.0809700486736 14.63227632418042, 121.0809700486736 14.6313770038167, 121.080040644504 14.6313770038167))"
400,54,"POLYGON ((121.080040644504 14.63227632418042, 121.080040644504 14.63317564454415, 121.0809700486736 14.63317564454415, 121.0809700486736 14.63227632418042, 121.080040644504 14.63227632418042))"
401,55,"POLYGON ((121.080040644504 14.63317564454415, 121.080040644504 14.63407496490787, 121.0809700486736 14.63407496490787, 121.0809700486736 14.63317564454415, 121.080040644504 14.63317564454415))"
402,55,"POLYGON ((121.080040644504 14.63407496490787, 121.080040644504 14.6349742852716, 121.0809700486736 14.6349742852716, 121.0809700486736 14.63407496490787, 121.080040644504 14.63407496490787))"
403,55,"POLYGON ((121.080040644504 14.6349742852716, 121.080040644504 14.63587360563532, 121.0809700486736 14.63587360563532, 121.0809700486736 14.6349742852716, 121.080040644504 14.6349742852716))"
404,57,"POLYGON ((121.080040644504 14.63587360563532, 121.080040644504 14.63677292599905, 121.0809700486736 14.63677292599905, 121.0809700486736 14.63587360563532, 121.080040644504 14.63587360563532))"
405,62,"POLYGON ((121.080040644504 14.63677292599905, 121.080040644504 14.63767224636277, 121.0809700486736 14.63767224636277, 121.0809700486736 14.63677292599905, 121.080040644504 14.63677292599905))"
450,15,"POLYGON ((121.0809700486736 14.61968583908827, 121.0809700486736 14.62058515945199, 121.0818994528433 14.62058515945199, 121.0818994528433 14.61968583908827, 121.0809700486736 14.61968583908827))"
451,16,"POLYGON ((121.0809700486736 14.62058515945199, 121.0809700486736 14.62148447981572, 121.0818994528433 14.62148447981572, 121.0818994528433 14.62058515945199, 121.0809700486736 14.62058515945199))"
452,16,"POLYGON ((121.0809700486736 14.62148447981572, 121.0809700486736 14.62238380017944, 121.0818994528433 14.62238380017944, 121.0818994528433 14.62148447981572, 121.0809700486736 14.62148447981572))"
453,18,"POLYGON ((121.0809700486736 14.62238380017944, 121.0809700486736 14.62328312054317, 121.0818994528433 14.62328312054317, 121.0818994528433 14.62238380017944, 121.0809700486736 14.62238380017944))"
454,20,"POLYGON ((121.0809700486736 14.62328312054317, 121.0809700486736 14.62418244090689, 121.0818994528433 14.62418244090689, 121.0818994528433 14.62328312054317, 121.0809700486736 14.62328312054317))"
455,21,"POLYGON ((121.0809700486736 14.62418244090689, 121.0809700486736 14.62508176127062, 121.0818994528433 14.62508176127062, 121.0818994528433 14.62418244090689, 121.0809700486736 14.62418244090689))"
456,20,"POLYGON ((121.0809700486736 14.62508176127062, 121.0809700486736 14.62598108163434, 121.0818994528433 14.62598108163434, 121.0818994528433 14.62508176127062, 121.0809700486736 14.62508176127062))"
457,21,"POLYGON ((121.0809700486736 14.62598108163434, 121.0809700486736 14.62688040199807, 121.0818994528433 14.62688040199807, 121.0818994528433 14.62598108163434, 121.0809700486736 14.62598108163434))"
458,23,"POLYGON ((121.0809700486736 14.62688040199807, 121.0809700486736 14.62777972236179, 121.0818994528433 14.62777972236179, 121.0818994528433 14.62688040199807, 121.0809700486736 14.62688040199807))"
459,26,"POLYGON ((121.0809700486736 14.62777972236179, 121.0809700486736 14.62867904272552, 121.0818994528433 14.62867904272552, 121.0818994528433 14.62777972236179, 121.0809700486736 14.62777972236179))"
460,33,"POLYGON ((121.0809700486736 14.62867904272552, 121.0809700486736 14.62957836308924, 121.0818994528433 14.62957836308924, 121.0818994528433 14.62867904272552, 121.0809700486736 14.62867904272552))"
461,30,"POLYGON ((121.0809700486736 14.62957836308924, 121.0809700486736 14.63047768345297, 121.0818994528433 14.63047768345297, 121.0818994528433 14.62957836308924, 121.0809700486736 14.62957836308924))"
462,35,"POLYGON ((121.0809700486736 14.63047768345297, 121.0809700486736 14.6313770038167, 121.0818994528433 14.6313770038167, 121.0818994528433 14.63047768345297, 121.0809700486736 14.63047768345297))"
463,39,"POLYGON ((121.0809700486736 14.6313770038167, 121.0809700486736 14.63227632418042, 121.0818994528433 14.63227632418042, 121.0818994528433 14.6313770038167, 121.0809700486736 14.6313770038167))"
464,35,"POLYGON ((121.0809700486736 14.63227632418042, 121.0809700486736 14.63317564454415, 121.0818994528433 14.63317564454415, 121.0818994528433 14.63227632418042, 121.0809700486736 14.63227632418042))"
465,54,"POLYGON ((121.0809700486736 14.63317564454415, 121.0809700486736 14.63407496490787, 121.0818994528433 14.63407496490787, 121.0818994528433 14.63317564454415, 121.0809700486736 14.63317564454415))"
466,54,"POLYGON ((121.0809700486736 14.63407496490787, 121.0809700486736 14.6349742852716, 121.0818994528433 14.6349742852716, 121.0818994528433 14.63407496490787, 121.0809700486736 14.63407496490787))"
467,55,"POLYGON ((121.0809700486736 14.6349742852716, 121.0809700486736 14.63587360563532, 121.0818994528433 14.63587360563532, 121.0818994528433 14.6349742852716, 121.0809700486736 14.6349742852716))"
468,57,"POLYGON ((121.0809700486736 14.63587360563532, 121.0809700486736 14.63677292599905, 121.0818994528433 14.63677292599905, 121.0818994528433 14.63587360563532, 121.0809700486736 14.63587360563532))"
469,61,"POLYGON ((121.0809700486736 14.63677292599905, 121.0809700486736 14.63767224636277, 121.0818994528433 14.63767224636277, 121.0818994528433 14.63677292599905, 121.0809700486736 14.63677292599905))"
470,63,"POLYGON ((121.0809700486736 14.63767224636277, 121.0809700486736 14.6385715667265, 121.0818994528433 14.6385715667265, 121.0818994528433 14.63767224636277, 121.0809700486736 14.63767224636277))"
513,9,"POLYGON ((121.0818994528433 14.61878651872454, 121.0818994528433 14.61968583908827, 121.082828857013 14.61968583908827, 121.082828857013 14.61878651872454, 121.0818994528433 14.61878651872454))"
514,11,"POLYGON ((121.0818994528433 14.61968583908827, 121.0818994528433 14.62058515945199, 121.082828857013 14.62058515945199, 121.082828857013 14.61968583908827, 121.0818994528433 14.61968583908827))"
515,13,"POLYGON ((121.0818994528433 14.62058515945199, 121.0818994528433 14.62148447981572, 121.082828857013 14.62148447981572, 121.082828857013 14.62058515945199, 121.0818994528433 14.62058515945199))"
516,16,"POLYGON ((121.0818994528433 14.62148447981572, 121.0818994528433 14.62238380017944, 121.082828857013 14.62238380017944, 121.082828857013 14.62148447981572, 121.0818994528433 14.62148447981572))"
517,18,"POLYGON ((121.0818994528433 14.62238380017944, 121.0818994528433 14.62328312054317, 121.082828857013 14.62328312054317, 121.082828857013 14.62238380017944, 121.0818994528433 14.62238380017944))"
518,20,"POLYGON ((121.0818994528433 14.62328312054317, 121.0818994528433 14.62418244090689, 121.082828857013 14.62418244090689, 121.082828857013 14.62328312054317, 121.0818994528433 14.62328312054317))"
519,13,"POLYGON ((121.0818994528433 14.62418244090689, 121.0818994528433 14.62508176127062, 121.082828857013 14.62508176127062, 121.082828857013 14.62418244090689, 121.0818994528433 14.62418244090689))"
520,16,"POLYGON ((121.0818994528433 14.62508176127062, 121.0818994528433 14.62598108163434, 121.082828857013 14.62598108163434, 121.082828857013 14.62508176127062, 121.0818994528433 14.62508176127062))"
521,16,"POLYGON ((121.0818994528433 14.62598108163434, 121.0818994528433 14.62688040199807, 121.082828857013 14.62688040199807, 121.082828857013 14.62598108163434, 121.0818994528433 14.62598108163434))"
522,18,"POLYGON ((121.0818994528433 14.62688040199807, 121.0818994528433 14.62777972236179, 121.082828857013 14.62777972236179, 121.082828857013 14.62688040199807, 121.0818994528433 14.62688040199807))"
523,15,"POLYGON ((121.0818994528433 14.62777972236179, 121.0818994528433 14.62867904272552, 121.082828857013 14.62867904272552, 121.082828857013 14.62777972236179, 121.0818994528433 14.62777972236179))"
524,20,"POLYGON ((121.0818994528433 14.62867904272552, 121.0818994528433 14.62957836308924, 121.082828857013 14.62957836308924, 121.082828857013 14.62867904272552, 121.0818994528433 14.62867904272552))"
525,18,"POLYGON ((121.0818994528433 14.62957836308924, 121.0818994528433 14.63047768345297, 121.082828857013 14.63047768345297, 121.082828857013 14.62957836308924, 121.0818994528433 14.62957836308924))"
526,24,"POLYGON ((121.0818994528433 14.63047768345297, 121.0818994528433 14.6313770038167, 121.082828857013 14.6313770038167, 121.082828857013 14.63047768345297, 121.0818994528433 14.63047768345297))"
527,38,"POLYGON ((121.0818994528433 14.6313770038167, 121.0818994528433 14.63227632418042, 121.082828857013 14.63227632418042, 121.082828857013 14.6313770038167, 121.0818994528433 14.6313770038167))"
528,35,"POLYGON ((121.0818994528433 14.63227632418042, 121.0818994528433 14.63317564454415, 121.082828857013 14.63317564454415, 121.082828857013 14.63227632418042, 121.0818994528433 14.63227632418042))"
