osm_id,amenity,name,building,way_area,shop,area,geometry,icon
16826375,,,school,861.5,,861.499784736117,"POLYGON ((121.0983671 14.6300812998636, 121.0983814 14.62993599986358, 121.0988399 14.62998119986359, 121.0988256 14.63012649986361, 121.0983671 14.6300812998636))",college
16826377,,,school,983.672,,983.673883464799,"POLYGON ((121.0983467 14.63033079986363, 121.0983644 14.63016909986361, 121.0988336 14.63022029986362, 121.098816 14.63038209986364, 121.0983467 14.63033079986363))",college
16826378,,,school,872.369,,872.370762910913,"POLYGON ((121.0983257 14.63050419986365, 121.09834 14.63036319986364, 121.098818 14.63041129986364, 121.0988038 14.63055239986366, 121.0983257 14.63050419986365))",college
16826379,,,school,801.932,,801.933124475206,"POLYGON ((121.0989045 14.63071839986368, 121.0989374 14.63040379986364, 121.0991552 14.63042649986364, 121.0991333 14.63063599986367, 121.0990706 14.63062939986367, 121.0990596 14.63073469986368, 121.0989045 14.63071839986368))",college
16826385,,,school,1907.29,,1907.29111900186,"POLYGON ((121.0991686 14.63057809986366, 121.0992013 14.63024839986362, 121.0995517 14.63028319986362, 121.0995402 14.63039869986364, 121.0996178 14.63040639986364, 121.0996129 14.63045569986365, 121.0995504 14.63044949986365, 121.0995409 14.63054539986365, 121.0996009 14.63055129986366, 121.0995935 14.63062539986367, 121.0994369 14.63060979986366, 121.0994229 14.63075089986368, 121.0992703 14.63073579986368, 121.0992804 14.63063309986367, 121.099317 14.63063669986367, 121.0993213 14.63059319986366, 121.0991686 14.63057809986366))",college
16826865,,,school,1204.55,,1204.55149378818,"POLYGON ((121.0973327 14.63140759986375, 121.0975774 14.63051289986365, 121.097676 14.63053809986366, 121.0975698 14.6309200998637, 121.0974331 14.63143279986376, 121.0973327 14.63140759986375))",college
16827525,,Riverbanks Activity Area,retail,4723.79,,4723.79267297407,"POLYGON ((121.0828132 14.6309320998637, 121.0832055 14.63082769986369, 121.0834297 14.6317080998638, 121.0830314 14.63180509986381, 121.0828132 14.6309320998637))",commercial
16827540,,Riverbanks ICT Building,retail,3129.57,,3129.56561923382,"POLYGON ((121.0831329 14.63187689986381, 121.0839314 14.63167329986379, 121.0839919 14.63197229986383, 121.083207 14.63216169986385, 121.0831791 14.63205539986383, 121.0831329 14.63187689986381))",commercial
16858393,,,school,1070.44,,1070.43800685492,"POLYGON ((121.0983045 14.63069619986367, 121.09832 14.63052619986365, 121.0988076 14.63057059986366, 121.0987921 14.63074059986368, 121.0983045 14.63069619986367))",college
16858394,,,school,1490.67,,1490.66966749241,"POLYGON ((121.098272 14.63097139986371, 121.0982937 14.63072619986368, 121.0987647 14.63076779986368, 121.098743 14.63101299986371, 121.098272 14.63097139986371))",college
16858398,,,school,478.078,,478.079665194684,"POLYGON ((121.098274 14.63109039986372, 121.098283 14.63100379986371, 121.0987097 14.63104779986371, 121.0987008 14.63113429986373, 121.098274 14.63109039986372))",college
16858403,,,school,770.016,,770.016271768114,"POLYGON ((121.0982526 14.63125939986374, 121.0982658 14.63112289986372, 121.0987022 14.63116489986372, 121.098689 14.63130139986374, 121.0982526 14.63125939986374))",college
16858437,,,school,1181.79,,1181.79365137293,"POLYGON ((121.0982243 14.63149639986377, 121.0982461 14.63129359986374, 121.0986959 14.63134199986375, 121.0986741 14.63154479986377, 121.0982243 14.63149639986377))",college
19018647,,Riverbanks Center,mall,126792.0,mall,126791.99663821,"POLYGON ((121.0804712 14.63122149986373, 121.0807846 14.6291496998635, 121.0822122 14.62881159986345, 121.0823774 14.62876499986345, 121.0825262 14.62875569986345, 121.0827016 14.62947119986353, 121.0827681 14.62965119986355, 121.0828266 14.62976299986356, 121.0831042 14.63016939986361, 121.0830631 14.63020109986362, 121.0832106 14.63049659986365, 121.0833267 14.63075499986368, 121.0834151 14.6309381998637, 121.083283 14.6309755998637, 121.0834732 14.63169449986379, 121.0839941 14.63154869986378, 121.0843604 14.63144759986376, 121.0841171 14.63197659986383, 121.0844893 14.63208859986384, 121.0853658 14.63235309986387, 121.0851105 14.63329169986398, 121.0830645 14.63271699986391, 121.0828163 14.6326782998639, 121.0826825 14.6326014998639, 121.0824828 14.63253429986389, 121.0823908 14.63244609986388, 121.0822748 14.63236469986387, 121.0821798 14.63216629986385, 121.0819275 14.63221519986385, 121.0817851 14.63223409986385, 121.0816615 14.63211389986384, 121.0816302 14.63191339986382, 121.0813371 14.63186489986381, 121.0814646 14.63155379986378, 121.0814704 14.63128199986374, 121.0804712 14.63122149986373))",shop
27030162,,SM City Marikina,mall,28623.0,mall,28622.998484148,"POLYGON ((121.0832569 14.62658859986319, 121.0836327 14.62621039986314, 121.0835993 14.62617939986314, 121.0837009 14.62607719986313, 121.0836835 14.62606099986313, 121.0835012 14.62589139986311, 121.0835621 14.6258300998631, 121.0836106 14.62578129986309, 121.0836339 14.62575779986309, 121.0838181 14.62592899986311, 121.0838388 14.62594829986311, 121.0839603 14.6258260998631, 121.0839914 14.6258549998631, 121.0843376 14.62550649986306, 121.0846845 14.6258292998631, 121.0847976 14.62593449986311, 121.0853713 14.62646819986318, 121.0842934 14.62755289986331, 121.0832569 14.62658859986319))",shop
28040778,,Ayala Malls Marikina,mall,26013.3,mall,26013.3086163136,"POLYGON ((121.1146687 14.64899029986583, 121.1148283 14.64866169986579, 121.1150361 14.64838899986576, 121.115215 14.64827339986575, 121.1155065 14.64814159986573, 121.1158363 14.64808309986572, 121.1161466 14.64810809986573, 121.1163319 14.64818129986573, 121.1165118 14.64826769986574, 121.1166633 14.64838249986576, 121.1168455 14.64858999986578, 121.116758 14.64861199986579, 121.1167013 14.64861679986578, 121.1157579 14.64974269986592, 121.1147812 14.64902149986584, 121.1146687 14.64899029986583))",shop
28040779,,C&B Circle Mall,mall,2816.48,mall,2816.48187567319,"POLYGON ((121.1154683 14.65035919986599, 121.1154912 14.65029659986598, 121.1155356 14.65023069986598, 121.1157168 14.65028159986598, 121.1160675 14.65027419986598, 121.1163322 14.65025589986598, 121.1165289 14.65011049986596, 121.1166059 14.65000009986595, 121.1169335 14.6495402998659, 121.1169552 14.64945539986588, 121.1170242 14.64947879986589, 121.1169342 14.64975079986592, 121.1168981 14.64980789986593, 121.1168298 14.64989719986594, 121.1168337 14.64994859986594, 121.1167986 14.64998859986595, 121.1167486 14.64999919986595, 121.1166317 14.65014089986596, 121.1164733 14.65025959986598, 121.1164565 14.65029159986598, 121.1164182 14.65031119986599, 121.1163698 14.65031119986599, 121.1161953 14.65038239986599, 121.1161094 14.65039899986599, 121.1159918 14.650410199866, 121.1159575 14.650453999866, 121.1159098 14.650454799866, 121.1158723 14.650412499866, 121.1157729 14.650413499866, 121.1154683 14.65035919986599))",shop
29343719,,Philipppine International Footwear Center,commercial,1160.71,,1160.71270883347,"POLYGON ((121.0954835 14.62993779986359, 121.0955472 14.62980029986357, 121.0957748 14.62989899986358, 121.0957632 14.62992409986358, 121.0959835 14.63001969986359, 121.0958528 14.63030189986362, 121.0957385 14.63025239986362, 121.0958172 14.6300824998636, 121.0954835 14.62993779986359))",building
52872085,,Riverbanks Arcade,retail,2660.17,,2660.17250417635,"POLYGON ((121.0824053 14.63204229986383, 121.0829705 14.63190009986382, 121.0830196 14.63209679986384, 121.0830656 14.63228409986386, 121.0826118 14.63239519986387, 121.0825667 14.63221419986385, 121.0825416 14.63221999986385, 121.0824564 14.63223969986386, 121.0824053 14.63204229986383))",commercial
54030453,,,retail,1395.46,,1395.46253786125,"POLYGON ((121.0832533 14.633448199864, 121.0833443 14.63318459986396, 121.083703 14.63330019986398, 121.0836508 14.63343369986399, 121.0836882 14.633445999864, 121.0836478 14.63357289986401, 121.0832533 14.633448199864))",commercial
60614339,,Citi Centre,retail,2273.2,,2273.20584863708,"POLYGON ((121.1082667 14.66943509986824, 121.1082747 14.66940379986824, 121.1082938 14.66938289986823, 121.1083166 14.66937239986823, 121.1083516 14.66936399986823, 121.1083726 14.66936109986823, 121.1083901 14.66931319986823, 121.1085745 14.66923909986821, 121.1086628 14.66941929986824, 121.108502 14.66948879986825, 121.1086567 14.6699803998683, 121.1084816 14.6700294998683, 121.1084589 14.67002419986831, 121.1084378 14.6700016998683, 121.1082999 14.66956019986825, 121.108308 14.66951119986825, 121.1082897 14.66948989986824, 121.1082741 14.66946679986824, 121.1082667 14.66943509986824))",commercial
86479287,,,school,1389.74,,1389.74500551705,"POLYGON ((121.0849416 14.63405589986407, 121.0849965 14.63393769986406, 121.0857514 14.6342888998641, 121.0856965 14.63440709986411, 121.0849416 14.63405589986407))",college
93018082,,DC Arcadia,commercial,667.219,,667.221336180517,"POLYGON ((121.1119901 14.64830329986575, 121.1120104 14.64823019986574, 121.1120928 14.64824619986574, 121.1121934 14.6479186998657, 121.1122484 14.6478700998657, 121.1123062 14.6478866998657, 121.1121672 14.64833919986575, 121.1119901 14.64830329986575))",building
93199277,,,school,641.604,,641.604948336759,"POLYGON ((121.1109247 14.65709529986679, 121.1110779 14.65669379986674, 121.1111868 14.65673629986675, 121.1111775 14.65676049986674, 121.111178 14.65675929986674, 121.111155 14.65681949986675, 121.111034 14.65713639986679, 121.1109491 14.65710399986678, 121.1109247 14.65709529986679))",college
93199278,,,school,396.395,,396.393918227518,"POLYGON ((121.1109908 14.65745299986683, 121.1110301 14.65735099986682, 121.1112942 14.65745299986683, 121.1112549 14.65755499986684, 121.1109908 14.65745299986683))",college
93199282,,,school,765.994,,765.99270848708,"POLYGON ((121.1113151 14.65762909986684, 121.1113762 14.65745949986683, 121.11143 14.65747879986683, 121.1114023 14.65755569986683, 121.1117085 14.65766589986685, 121.1117607 14.65752069986683, 121.1118255 14.65754399986684, 121.1117732 14.65768919986686, 121.1117398 14.65778199986686, 121.1113151 14.65762909986684))",college
93199287,,,school,464.408,,464.406606526817,"POLYGON ((121.1118356 14.65780979986687, 121.1119082 14.65760439986684, 121.1120651 14.65765989986685, 121.1119925 14.65786529986688, 121.1118356 14.65780979986687))",college
93199300,,,school,752.928,,752.927246319721,"POLYGON ((121.1114641 14.65755489986684, 121.1114879 14.65748499986683, 121.1115376 14.65750199986683, 121.1116193 14.65726149986681, 121.1117692 14.6573124998668, 121.1116874 14.65755289986684, 121.1117264 14.65756619986684, 121.1117027 14.65763599986685, 121.1115138 14.65757179986684, 121.1114641 14.65755489986684))",college
93199314,,,school,457.068,,457.067033364938,"POLYGON ((121.1107848 14.65749109986683, 121.1109039 14.65713979986679, 121.110995 14.65717069986679, 121.1108759 14.65752199986684, 121.1107848 14.65749109986683))",college
93320637,,,house,199.451,,199.453107427854,"POLYGON ((121.0944097 14.650456599866, 121.0945635 14.65039159986599, 121.0945998 14.650477499866, 121.0944459 14.65054249986601, 121.0944097 14.650456599866))",home
93320638,,,school,597.291,,597.29141350929,"POLYGON ((121.1021248 14.65055889986602, 121.1021719 14.65017109986597, 121.1022904 14.65018549986597, 121.1022433 14.65057329986601, 121.1021248 14.65055889986602))",college
93320640,,,house,1303.77,,1303.77316815539,"POLYGON ((121.0982775 14.64888179986582, 121.0984248 14.64866899986579, 121.0987482 14.64889299986582, 121.098601 14.64910569986584, 121.0982775 14.64888179986582))",home
93320641,,,school,911.674,,911.671115824317,"POLYGON ((121.1036706 14.64822929986574, 121.103788 14.64818029986573, 121.1037619 14.64811779986573, 121.1040102 14.64801399986572, 121.1040398 14.64808489986572, 121.1041615 14.64803409986572, 121.104205 14.64813839986573, 121.1040545 14.64820129986574, 121.1040371 14.64815979986573, 121.1038251 14.64824829986574, 121.1038425 14.64828979986575, 121.1037177 14.64834189986576, 121.1036706 14.64822929986574))",college
93320644,,,school,170.514,,170.51557923555,"POLYGON ((121.1085468 14.67286939986865, 121.1086334 14.67286469986864, 121.1086418 14.67301789986866, 121.1085552 14.67302269986866, 121.1085468 14.67286939986865))",college
93320648,,,school,619.176,,619.174908079285,"POLYGON ((121.1033068 14.6479271998657, 121.1034018 14.6478822998657, 121.103599 14.64831009986575, 121.1035085 14.64835299986576, 121.1033068 14.6479271998657))",college
93320653,,,school,987.49,,987.49194256226,"POLYGON ((121.1020651 14.6512998998661, 121.1021311 14.65060759986602, 121.1022414 14.65061809986603, 121.1021755 14.6513104998661, 121.1020651 14.6512998998661))",college
93320654,,,school,493.363,,493.363350180712,"POLYGON ((121.101665 14.65087369986605, 121.1016977 14.65076929986604, 121.1020337 14.65087449986605, 121.102001 14.65097889986606, 121.101665 14.65087369986605))",college
93320655,,,house,229.469,,229.470096145271,"POLYGON ((121.1019662 14.6512512998661, 121.1019866 14.65103929986607, 121.1020704 14.65104739986607, 121.1020499 14.65125929986609, 121.1019662 14.6512512998661))",home
93320656,,,school,198.68,,198.68145588806,"POLYGON ((121.082292 14.633496199864, 121.0824001 14.633491699864, 121.0824053 14.63361869986402, 121.0823838 14.63361959986402, 121.0823858 14.63366819986402, 121.0823495 14.63366969986402, 121.0823475 14.63362109986402, 121.0822973 14.63362319986402, 121.082292 14.633496199864))",college
93320659,,,school,837.186,,837.185897828692,"POLYGON ((121.1016348 14.65073739986604, 121.1017205 14.65047959986601, 121.1017935 14.65050389986601, 121.1018043 14.65047139986601, 121.1017313 14.650447099866, 121.1018122 14.65020359986597, 121.1019269 14.65024179986597, 121.1017495 14.65077559986604, 121.1016348 14.65073739986604))",college
93320667,,,house,518.033,,518.034761829016,"POLYGON ((121.0979035 14.64885369986581, 121.0981326 14.6487437998658, 121.0982014 14.64888739986582, 121.0979723 14.64899719986583, 121.0979035 14.64885369986581))",home
93320670,,,school,363.729,,363.726893396937,"POLYGON ((121.1042499 14.64807759986572, 121.1043763 14.64802039986571, 121.1044606 14.64820699986574, 121.1043342 14.64826409986575, 121.1042499 14.64807759986572))",college
93320675,,,house,396.523,,396.525171004987,"POLYGON ((121.0945753 14.65016849986597, 121.0946745 14.65012879986596, 121.0947821 14.650397699866, 121.0946828 14.650437399866, 121.0945753 14.65016849986597))",home
93320678,,,school,381.289,,381.288737873146,"POLYGON ((121.1081466 14.67282879986864, 121.10843 14.67280779986863, 121.1084383 14.67291219986865, 121.1081548 14.67293319986865, 121.1081466 14.67282879986864))",college
93320680,,Barangka National High School,school,1093.29,,1093.29292099892,"POLYGON ((121.0813067 14.63357809986401, 121.0815654 14.63356679986401, 121.0815486 14.63317819986397, 121.081664 14.63317319986396, 121.0816855 14.63366969986402, 121.0813114 14.63368589986403, 121.0813067 14.63357809986401))",college
93320681,,,school,322.475,,322.474219055106,"POLYGON ((121.1019788 14.65035479986599, 121.1020604 14.65012399986596, 121.1021574 14.65015829986597, 121.1020757 14.650389099866, 121.1019788 14.65035479986599))",college
93320682,,,school,322.523,,322.524022337082,"POLYGON ((121.1035253 14.64836319986576, 121.1036152 14.64832139986575, 121.1037223 14.64855169986578, 121.1036324 14.64859349986578, 121.1035253 14.64836319986576))",college
93320684,,,school,357.264,,357.262270805827,"POLYGON ((121.1085189 14.67275349986863, 121.108796 14.67274559986863, 121.1087989 14.67284619986865, 121.1085217 14.67285399986864, 121.1085189 14.67275349986863))",college
93320686,,,house,528.781,,528.782938374269,"POLYGON ((121.0980671 14.64857089986578, 121.0982087 14.64848329986577, 121.0983201 14.64866339986579, 121.0982721 14.64869309986579, 121.0983009 14.6487396998658, 121.0982074 14.6487975998658, 121.0980671 14.64857089986578))",home
93320687,,,school,1681.04,,1681.03823837356,"POLYGON ((121.0984224 14.64836979986575, 121.0986087 14.64826709986574, 121.0985942 14.64824069986574, 121.0986756 14.64819579986574, 121.0990478 14.64878639986581, 121.098772 14.64917509986585, 121.0986876 14.64910859986584, 121.0989192 14.64877379986581, 121.0986457 14.64833509986575, 121.0984598 14.64843759986577, 121.0984224 14.64836979986575))",college
93320690,,,school,1155.73,,1155.72705672653,"POLYGON ((121.1036063 14.64770979986568, 121.1038026 14.64762239986567, 121.1039735 14.64800589986571, 121.1037771 14.64809329986572, 121.1036063 14.64770979986568))",college
93320697,,,school,367.986,,367.98550797998,"POLYGON ((121.1086428 14.67313379986868, 121.1086477 14.67309859986867, 121.1086762 14.67287799986865, 121.1087738 14.67289059986865, 121.1087868 14.67289219986865, 121.1087534 14.67314799986867, 121.1087404 14.67314639986868, 121.1086428 14.67313379986868))",college
93320702,,,school,1412.32,,1412.32519306475,"POLYGON ((121.1080082 14.67283709986864, 121.1081275 14.67282769986864, 121.1081577 14.67321099986868, 121.1085875 14.67317719986868, 121.1085861 14.67315919986868, 121.108678 14.67315189986868, 121.108687 14.67326699986869, 121.1085951 14.67327419986869, 121.108046 14.67331739986869, 121.1080082 14.67283709986864))",college
97546639,,,school,821.756,,821.751224500377,"POLYGON ((121.1042302 14.64185009986499, 121.1045175 14.64171889986497, 121.104614 14.641917099865, 121.1043268 14.64204829986501, 121.1042993 14.64199189986501, 121.1043368 14.641974799865, 121.1042789 14.64185599986499, 121.1042414 14.64187319986499, 121.1042302 14.64185009986499))",college
97918586,,,school,1872.91,,1872.91022281526,"POLYGON ((121.1013895 14.67025449986834, 121.1014441 14.67016339986832, 121.1025789 14.6708001998684, 121.1025237 14.67089219986841, 121.1024852 14.67095639986842, 121.1023933 14.67090479986841, 121.1024323 14.6708397998684, 121.1013895 14.67025449986834))",college
107182839,,,school,973.812,,973.815140936247,"POLYGON ((121.1071959 14.67062469986838, 121.1075456 14.67052289986837, 121.1076103 14.67071059986839, 121.10726 14.67083059986841, 121.1071959 14.67062469986838))",college
107182853,,,school,770.494,,770.494268738592,"POLYGON ((121.1075593 14.67051829986837, 121.1078133 14.67043759986835, 121.1078224 14.67046419986836, 121.1078708 14.67044879986836, 121.1079242 14.67060589986838, 121.1076218 14.67070209986839, 121.1075593 14.67051829986837))",college
107182857,,Katipunan Prime Badminton Center,commercial,3449.54,,3449.53979558196,"POLYGON ((121.1103558 14.64103309986489, 121.1104167 14.64101249986489, 121.1104354 14.6410676998649, 121.1104954 14.6410473998649, 121.1104563 14.64093169986488, 121.1105129 14.64091259986488, 121.1104984 14.64086989986487, 121.1111677 14.64064309986485, 121.1112477 14.64087929986487, 121.1110066 14.64096099986488, 121.111014 14.64098299986489, 121.1111478 14.64093759986488, 121.1111725 14.64101049986489, 121.1104895 14.64124189986492, 121.1104451 14.6411109998649, 121.1103887 14.6411300998649, 121.110375 14.6410896998649, 121.1103558 14.64103309986489))",building
107182862,,,school,674.873,,674.877842328024,"POLYGON ((121.107561 14.6700064998683, 121.1076333 14.66998819986831, 121.1077287 14.6699640998683, 121.107843 14.67038669986835, 121.107745 14.67041149986836, 121.1076613 14.67010209986832, 121.1075916 14.67011969986832, 121.107561 14.6700064998683))",college
107182863,,,school,2460.06,,2460.05469918102,"POLYGON ((121.1031835 14.64768769986567, 121.1039107 14.64736469986564, 121.1040172 14.64732319986564, 121.1043029 14.64800879986571, 121.1041964 14.64805039986572, 121.1039627 14.64748939986566, 121.1032432 14.64780969986569, 121.1031835 14.64768769986567))",college
107394781,,,school,1063.42,,1063.41786768132,"POLYGON ((121.08019 14.63702859986442, 121.080205 14.63694299986441, 121.0811466 14.63710809986443, 121.0811316 14.63719359986444, 121.08019 14.63702859986442))",college
114653636,,LSL Corporate Center,commercial,1010.87,,1010.86809134116,"POLYGON ((121.1007776 14.64433129986528, 121.1008624 14.64429239986527, 121.1009001 14.64437449986528, 121.1010549 14.64430349986527, 121.1010179 14.64422279986527, 121.1011206 14.64417569986526, 121.101155 14.64425069986528, 121.1013142 14.64417759986526, 121.1013617 14.64428109986527, 121.1008602 14.6445111998653, 121.1007776 14.64433129986528))",building
115811880,,,house,413.531,,413.530947173257,"POLYGON ((121.1019429 14.6555412998666, 121.102042 14.65553759986661, 121.1020549 14.65586289986664, 121.1019558 14.65586659986664, 121.1019429 14.6555412998666))",home
115811881,,,house,619.896,,619.896894612358,"POLYGON ((121.1017778 14.65581289986663, 121.1019099 14.65580179986664, 121.1019423 14.65616549986668, 121.1018102 14.65617649986668, 121.1017778 14.65581289986663))",home
115811884,,,house,2657.02,,2657.0195248065,"POLYGON ((121.101187 14.65573949986662, 121.101609 14.65572849986662, 121.1016227 14.65621969986668, 121.1012007 14.65623069986668, 121.101187 14.65573949986662))",home
115811885,,,house,870.463,,870.459547527642,"POLYGON ((121.1008274 14.65587519986664, 121.1010402 14.65587159986664, 121.1010461 14.65619079986668, 121.1008333 14.65619449986668, 121.1008274 14.65587519986664))",home
115831097,,,house,742.449,,742.450601862708,"POLYGON ((121.1267047 14.64663459986555, 121.1268615 14.64634439986552, 121.1270184 14.64642369986553, 121.1268616 14.64671389986556, 121.1267047 14.64663459986555))",home
116061782,,,school,289.82,,289.821555420311,"POLYGON ((121.0853051 14.63440119986411, 121.0853394 14.6343273998641, 121.0855944 14.63443889986412, 121.0855601 14.63451259986412, 121.0853051 14.63440119986411))",college
116705944,,,house,878.029,,878.030769896404,"POLYGON ((121.0842405 14.63892959986465, 121.084281 14.63870609986462, 121.0843422 14.63871649986462, 121.0843714 14.6385557998646, 121.0845089 14.63857919986461, 121.0844392 14.63896329986465, 121.0842405 14.63892959986465))",home
116914594,,,house,1245.32,,1245.31822847075,"POLYGON ((121.0941075 14.65061939986602, 121.094479 14.65054899986602, 121.0949569 14.65034959986599, 121.0949991 14.650450699866, 121.0945003 14.65065399986602, 121.0941287 14.65072439986603, 121.0941075 14.65061939986602))",home
116914597,,,house,382.717,,382.714460065857,"POLYGON ((121.0938749 14.65041659986599, 121.09397 14.65036569986599, 121.0941075 14.65060619986602, 121.0940123 14.65065709986602, 121.0938749 14.65041659986599))",home
116914601,,,house,1239.8,,1239.80376423935,"POLYGON ((121.0940892 14.65011629986596, 121.0948121 14.64991539986594, 121.0948488 14.65003909986595, 121.0941259 14.65023999986597, 121.0940892 14.65011629986596))",home
117075667,,,house,707.133,,707.132167092265,"POLYGON ((121.0892991 14.65429009986645, 121.0894367 14.65425299986645, 121.0894007 14.65412799986643, 121.0894854 14.65410519986643, 121.0895202 14.65422639986645, 121.0895652 14.65421429986644, 121.0896022 14.65434309986646, 121.089493 14.65437249986647, 121.089506 14.65441739986647, 121.0893479 14.65445989986648, 121.0892991 14.65429009986645))",home
117075668,,,house,342.844,,342.846743867714,"POLYGON ((121.090957 14.65590459986664, 121.0911078 14.65576499986663, 121.0911994 14.65585769986664, 121.0910486 14.65599729986666, 121.090957 14.65590459986664))",home
