osm_id,amenity,name,building,way_area,shop,area,geometry,icon
-3428164,,Alicante Tower,residential,1878.3,,1878.29740203245,"POLYGON ((121.0993456 14.63656959986437, 121.0993872 14.63655879986437, 121.099373 14.63650779986436, 121.0994098 14.63649819986436, 121.0994067 14.63648729986436, 121.099469 14.63647099986436, 121.099475 14.63649259986436, 121.0995558 14.63647149986435, 121.0995498 14.63644999986436, 121.0996032 14.63643599986435, 121.0996075 14.63645139986435, 121.0996861 14.63643089986435, 121.0996818 14.63641549986435, 121.0997557 14.63639619986435, 121.0997598 14.63641079986435, 121.0997886 14.63640329986435, 121.0997914 14.63641829986435, 121.0998297 14.63640829986434, 121.0998403 14.63645379986435, 121.0998504 14.63645119986435, 121.0999278 14.63678499986439, 121.0998968 14.63679309986439, 121.0999015 14.6368132998644, 121.0994826 14.63692269986441, 121.0994745 14.6368877998644, 121.0994266 14.63690099986441, 121.0993456 14.63656959986437), (121.099451 14.63656749986436, 121.0995238 14.6368446998644, 121.0995721 14.63683249986439, 121.0995596 14.63678579986439, 121.0997737 14.63673209986439, 121.0997862 14.63677879986439, 121.0998262 14.63676879986439, 121.0997489 14.63649159986436, 121.0997113 14.63650119986436, 121.099721 14.63653699986436, 121.0995018 14.63659289986436, 121.0994921 14.63655699986436, 121.099451 14.63656749986436))",residential-community
-3428163,,Barcelona Tower,residential,3127.99,,3127.9898432483,"POLYGON ((121.099944 14.63641029986435, 121.1000135 14.63639599986434, 121.1000017 14.63635159986434, 121.1000758 14.63633329986434, 121.1000782 14.63634259986434, 121.1001229 14.63633159986434, 121.1001204 14.63632219986433, 121.1001573 14.63631309986434, 121.1001509 14.63628909986434, 121.1002594 14.63626229986433, 121.1003361 14.63624149986433, 121.1003429 14.63626719986433, 121.1003744 14.63625939986433, 121.1003692 14.63623969986432, 121.1004561 14.63621819986433, 121.1004613 14.63623789986433, 121.1006058 14.63620219986432, 121.1006137 14.63623209986433, 121.100684 14.63621679986432, 121.100778 14.63657329986437, 121.1000301 14.63676779986439, 121.099944 14.63641029986435), (121.100066 14.63643119986435, 121.1001195 14.63661489986437, 121.100152 14.63660649986437, 121.1001389 14.63655889986436, 121.1005915 14.63644159986435, 121.1006047 14.63648919986435, 121.1006459 14.63647849986435, 121.1005981 14.63629259986433, 121.1005582 14.63630299986433, 121.100569 14.63634149986434, 121.100505 14.63635819986434, 121.1004998 14.63633939986434, 121.1001823 14.63642209986435, 121.100189 14.63644639986435, 121.1001121 14.63646639986435, 121.1000998 14.63642239986435, 121.100066 14.63643119986435))",residential-community
-3428162,,Cordova Tower,residential,2049.05,,2049.05515809493,"POLYGON ((121.1007901 14.63619539986432, 121.1008332 14.63618499986432, 121.1008255 14.63614769986432, 121.1013144 14.6360265998643, 121.1013838 14.6360115998643, 121.1014269 14.6360086998643, 121.1014716 14.6360458998643, 121.1014623 14.63611599986431, 121.1014238 14.63613829986432, 121.1013067 14.63641859986435, 121.101315 14.63644699986435, 121.1009195 14.63654419986436, 121.1009093 14.63652289986436, 121.1008625 14.63653229986436, 121.1007901 14.63619539986432), (121.1008954 14.63623969986432, 121.1009395 14.63644129986435, 121.1012189 14.63636939986434, 121.1013046 14.63616409986432, 121.1012975 14.63613539986432, 121.1008954 14.63623969986432))",residential-community
4947814,,Riverbanks E-COM Center,retail,16563.0,,16562.962029192,"POLYGON ((121.0807208 14.62999719986359, 121.0807838 14.62944769986353, 121.0808641 14.62942459986352, 121.0808113 14.6291720998635, 121.082222 14.62884659986346, 121.0822427 14.62884149986346, 121.0823243 14.62882039986345, 121.0825031 14.62955979986354, 121.082399 14.62958609986354, 121.0807208 14.62999719986359))",commercial
4947816,,Riverbanks Center,retail,43749.6,,43749.6320386881,"POLYGON ((121.0806093 14.63063379986366, 121.0806927 14.63009439986361, 121.0811546 14.62998299986359, 121.0822109 14.62972839986356, 121.0823878 14.62968569986356, 121.0825356 14.63029949986363, 121.0826468 14.63072059986368, 121.0828064 14.63135339986375, 121.082929 14.63185139986381, 121.0827389 14.63189839986381, 121.0817811 14.63214269986384, 121.0814953 14.63100229986371, 121.0814099 14.63101969986371, 121.0807181 14.63115639986373, 121.0806333 14.63074909986368, 121.0806093 14.63063379986366))",commercial
16826329,,,school,1761.87,,1761.86729761984,"POLYGON ((121.0987479 14.63238149986387, 121.0987604 14.63225129986386, 121.0987942 14.63225459986385, 121.0988 14.63219469986385, 121.0987651 14.63219139986385, 121.098782 14.63201519986383, 121.0990574 14.63204159986383, 121.0990526 14.63209239986384, 121.099172 14.63210379986384, 121.0991418 14.63241919986388, 121.0987479 14.63238149986387))",college
16826349,,Ylagan Hall,school,882.842,,882.83987400395,"POLYGON ((121.0988261 14.63195589986382, 121.0988472 14.63169429986379, 121.099109 14.63171539986379, 121.0990879 14.63197699986383, 121.0988261 14.63195589986382))",college
16826359,,,school,1454.1,,1454.0981908029,"POLYGON ((121.0993355 14.63200639986383, 121.0994342 14.63106749986372, 121.0995538 14.63108009986372, 121.0994551 14.63201899986383, 121.0993355 14.63200639986383))",college
16826361,,,school,1536.33,,1536.32633401143,"POLYGON ((121.0984052 14.62957509986354, 121.0984268 14.62942999986352, 121.0992356 14.62955039986354, 121.099214 14.62969549986355, 121.0984052 14.62957509986354))",college
16826362,,,school,767.641,,767.638451085999,"POLYGON ((121.0984055 14.62986679986358, 121.098416 14.62973419986356, 121.0988652 14.62976979986357, 121.0988547 14.62990239986358, 121.0984055 14.62986679986358))",college
