flood_hazard_level,fhm005yrs,fhm025yrs,fhm100yrs,label
1.0,27089.643437862396,51855.95056295395,73868.10276508331,High
2.0,40126.53582763672,40383.94486808777,24829.41904783249,Medium
3.0,14923.01943397522,3682.465703010559,1113.9718775749207,Low
4.0,60382.82456064224,46599.6621260643,42710.529569625854,Marginal
